date,portfolio_value,position,prediction,actual_return,signal,strategy_return,cumulative_return
2021-07-20,0.999,-1.0,-0.014960173466257998,-0.003091062503549624,-1.0,,-0.0010000000000000009
2021-07-21,0.9678443035062249,-1.0,-0.009842579102441672,0.031186883377152252,-1.0,-0.031186883377152252,-0.03215569649377514
2021-07-22,0.9425659491881458,-1.0,-0.00715417125073105,0.026118203337564427,-1.0,-0.026118203337564427,-0.057434050811854154
2021-07-23,0.9325567392779488,1.0,0.010229622939825878,0.008619108316843205,1.0,-0.010619108316843207,-0.0674432607220512
2021-07-24,0.9379160115391426,1.0,0.010354545762008036,0.0057468591834350935,1.0,0.0057468591834350935,-0.06208398846085739
2021-07-25,0.9448828514619805,0.0,-0.000565120144809375,0.008427999775166395,0.0,0.007427999775166505,-0.05511714853801952
2021-07-26,0.9448828514619805,0.0,-0.0003424240219716924,-0.048588356727472415,0.0,0.0,-0.05511714853801952
2021-07-27,0.9448828514619805,0.0,-0.0015169391681364856,-0.02339259008487593,0.0,0.0,-0.05511714853801952
2021-07-28,0.9439379686105185,-1.0,-0.007320931151100869,-0.016153384744582167,-1.0,-0.0010000000000000009,-0.056062031389481515
2021-07-29,0.9731969571871845,0.0,-0.002620693408921129,-0.031996728121589824,0.0,0.03099672812158971,-0.026803042812815536
2021-07-30,0.9722237602299972,-1.0,-0.014564951013713873,-0.024581454805392533,-1.0,-0.0010000000000000009,-0.027776239770002764
2021-07-31,0.9386860970889706,1.0,0.011044927594620573,0.032495827517209364,1.0,-0.034495827517209365,-0.06131390291102945
2021-08-01,0.9502222779676731,-1.0,-0.008208647329628274,0.014289711027443808,-1.0,0.012289711027443806,-0.04977772203232689
2021-08-02,0.9355242494768196,0.0,-0.003224788424206071,0.014467989786862923,0.0,-0.015467989786862923,-0.06447575052318044
2021-08-03,0.9355242494768196,0.0,-0.0027541941778761268,0.039747579410428946,0.0,0.0,-0.06447575052318044
2021-08-04,0.9355242494768196,0.0,0.0013885356402406652,0.03871875810895231,0.0,0.0,-0.06447575052318044
2021-08-05,0.9355242494768196,0.0,-0.0053825587765411465,0.021661929484926734,0.0,0.0,-0.06447575052318044
2021-08-06,0.9355242494768196,0.0,-0.002125769384587809,0.017969359551472497,0.0,0.0,-0.06447575052318044
2021-08-07,0.9345887252273427,1.0,0.042476017754293424,-0.004618343660518498,1.0,-0.0010000000000000009,-0.06541127477265729
2021-08-08,0.9121579160095231,1.0,0.016770475656558505,-0.02400072739200143,1.0,-0.02400072739200143,-0.08784208399047688
2021-08-09,0.8547029960021111,0.0,-0.0014362794558315619,-0.06198790921945163,0.0,-0.06298790921945163,-0.14529700399788892
2021-08-10,0.853848293006109,-1.0,-0.01144960950250187,-0.07152407020179574,-1.0,-0.0010000000000000009,-0.14615170699389102
2021-08-11,0.9108567010698015,-1.0,-0.006518485606752647,-0.06676643676710448,-1.0,0.06676643676710459,-0.08914329893019846
